Text,Sentiment
Proses rekrutmen harus adil dan transparan! ProfMen yassierli menegaskan komitmen pemerintah untuk memberantas praktik percaloan tenaga kerja. Source: @kemnaker #politikindonesia #politik #indonesia #opposite #saveourdemocracy #aktivis #pemilu #pilpres #presidentemedia https://t.co/i8g7AaSiAB,positif
KUTAI BARAT Guna memastikan kelancaran dan keamanan dalam proses rekrutmen tenaga kerja Polsek Damai melaksanakan pengamanan kegiatan Walk In Interview yang diselenggarakan oleh PT. Petrosi di Balai Latihan Kerja (BLK) Kampung Keay RT. 004 Kecamatan Damai. https://t.co/j4HM1SJDtw,positif
Kemnaker Hapus Batasan Usia Sebagai Syarat dalam Rekrutmen Tenaga Kerja https://t.co/Pl9mHngh7o,negatif
Sbnrnya gk masalah sih. Yg penting dapat kehidupan yg lebih baik. Mau disini atau di LN ya silahkan. Justru makin banyak yg #KaburAjaDulu juga pelan2 bsa membuat jumlah tenaga kerja + lapangan kerja bsa seimbang. Jumlah warga + lapangan kerja yg ada saat ini sudah gk sebanding.,positif
Guys minta bantu up nih gw kwna penipuan sma nih orang senilai 22 6jt klo rame ntr gw cerita kronologi nya. #indonesiagelap #penipuan https://t.co/Hp8ObtVNtx,negatif
135+ korban jiwa cuma angka bagi institusi yang sedang merayakan ulang tahunnya di hari ini. Main robot-robotan lebih menyenangkan buat mereka ketimbang menghargai nyawa. #kanjuruhanbelumusai #1000harikanjuruhan #IndonesiaGelap https://t.co/SCdwEU61f0,negatif
Salah satu tuntutan yang ada pada #IndonesiaGelap di Februari 2025 kemarin adalah Polisi Diberesin: Reformasi Polri hapus impunitas dan tindak tegas polisi korup Note: Postingan ini tidak didanai oleh agency buzzer dan tidak pula dibiayai oleh Marcella Santoso. https://t.co/cDmPiqm3Mx,negatif
Kesaksian korban kekerasan aparat polisi yang tidak disinggung oleh presiden kemarin di perayaan hari bhayangkara. #IndonesiaGelap https://t.co/YN4LLuJx3K,negatif
Selalu waspada di hari-hari penuh bahaya dan angkara di depan. #IndonesiaGelap https://t.co/kS2Vrdfgyi,negatif
Nak coba lah mikir kamu itu Wapres. kumpulin itu ahli ekonomi ahli hukum ahli tatanegara ahli energi utk bahas apa yg harus diperbaiki utk kemajuan bangsa Bukan ngumpulin buzzer YouTube di istana. #indonesiagelap https://t.co/PcL2h96fl3,negatif
Presiden prabowo sindir indonesia gelap di pidato acara gajah PSI Clue nya : - berperan sbg org pinter - nyebar isu pesimisme - #IndonesiaGelap #kaburajadulu - dikejar kejar Kira kira siapa ya pak ..?? Uhuhu takut nye https://t.co/MNDdoPYmQT,negatif
Negara ini lebih memilih membeli seekor polisi anjing seharga 3 miliar untuk perayaan ulang tahun ketimbang memperbaiki sistem pendidikan mensejahterakan guru dan memudahkan akses pendidikan. Miris #IndonesiaGelap #TolakRKUHAP https://t.co/ZWOopvbUvO,negatif
BACOT RAKYAT ----------------- INDONESIA adalah... SORGA nya para KORUPTOR Fakta... #IndonesiaCemas #IndonesiaGelap https://t.co/XWHR1c1mnc,negatif
Gerakan indonesia gelap jilid 2 #IndonesiaGelap mesti dilakukan Tidak hanya soal kebijakan presiden ( eksekutif ) tapi dunia peradilan ( legislatif ) atau hakim sedang tidak baik baik saja dlm perkara tom lembong Ada apa negeri ini.??? https://t.co/dWFvsXzsWs,negatif
Dulu mungkin kita dijajah oleh bangsa lain saat ini kita dijajah oleh bangsa sendiri. Kita buktikan bahwa gelombang kita adalah gelombang semut yang akan terus berlipat ganda mengasah kebekuan lapar perubahan #IndonesiaGelap #TolakRKUHAP https://t.co/8orqbtrfAy,negatif
Semua orang sama di muka hukum kecuali jokowi dan keluarga bahkan RKUHAP pun di otak atik demi siapa ..?? Aksi indonesia gelap #IndonesiaGelap https://t.co/8IoGapqTPt,negatif
Coba kalau taat fatwa MUI gak hancur dan #IndonesiaGelap https://t.co/CNkuEFUBDq,negatif
#IndonesiaGelap Semakin Nyata Sampai Sekarang Tidak Ada Terang Terangnya Sama Sekali. Salah siapa? Warisan siapa? https://t.co/ECZhbREm1w,negatif
Indonesia Gelap bukan isapan jempol. Selain dikuasai para koruptor di semua aspek lini pemerintahan negeri ini juga dikuasai preman. Video ini salah satu bukti bahwa praktek premanisme seperti hal biasa dan terorganisir. #Bogor #IndonesiaGelap #ViralVideos https://t.co/aqZYfckCYY,negatif
Pesimis? Gimana engga klo realitasnya Indonesia gelap kerja susah diberikan masukan malah bukan dikaji... Tp malah bucin dipodium.. #IndonesiaGelap https://t.co/8ey8eCZ56c,negatif
Ternyata @BosPurwa cuma wayang. Dalangnya? @BangEdiii! Bohir sejati main di balik layar sebagai pengusaha emas dan silver. Dia aktor utama di balik gaduh #IndonesiaGelap &amp; penolakan RUU TNI. @Cakra_Kostrad #TangkapEdiHermanto https://t.co/BfIEGAGYHy,negatif
Korupsi Gila2 ini Sudah Bukan Negara Lagi Tapi Mafia Kapitalis Predatoris. Tidak Heran Kalau Komandannya Dapat Gelar Dari OCCRP ‼️ #IndonesiaGelap #AdiliJokowi https://t.co/n2XwUYTKH0,negatif
@KompasTV percuma berharap pada presiden untuk indonesia adil sejahtera dengan mindsetnya seperti sekarang #indonesiagelap rasanya lebih relevan. penguasa tak berintegritas dikelilingi para birokrat politisi &amp; pengusaha oportunis kapitalis yg hidup di indonesia cuman pengin numpuk harta,negatif
Apakah gerakan baru? Dari #IndonesiaGelap ke #MarahBareng min @barengwarga?,netral
Katenye efisiensi anggaran ? @prabowo Katenye juge difisit APBN ? @DPR_RI #IndonesiaGelap #IndonesiaBubar2030 https://t.co/kFf2ybABFy,positif
@KompasTV Ha ha ha ketawa bacanya. Yg gomong selain pendidikannya tdk jelas juga selama memerintah jd badut oligarki.. #IndonesiaKosong #IndonesiaGelap https://t.co/zAbotnbJhs,negatif
Miris bget negara ini dikuasai oleh para Pejabat pembohong munafik &amp; korupsi. Apa yg bisa diharapkan dr Pemerintahan spt itu? Negara maju Indonesia Emas yg ada justru #IndonesiaGelap #IndonesiaHancur,negatif
saking gelapnga ampe ni aja gak muat nimbun masalah yang ada di negara GELAP INI #IndonesiaGelap #KaburAjaDulu https://t.co/qJbHd0zy5W,negatif
POLRI sdh sedemikian rusak tapi Presidennya cuek2 saja asik sendiri dng militerisasi. Negara sdh rusak di tangan @jokowi kini diperburuk oleh @prabowo #IndonesiaGelap,negatif
mana kemaren yg petantang-petenteng ikut gerakan #WotaMelwan #IndonesiaGelap takut dipersekusi JOT kah manies ??? BURAKAKAKAKAK,negatif
Perpustakaan Jalanan Jakarta melapak di Taman Literasi Blok M setiap Rabu dan Minggu jam 8 malam yaa #IndonesiaGelap #TolakRKUHAP https://t.co/nKFnh9EXoj,positif
Data-data pengangguran ini faktual bersumber dari BPS dan Kemenaker. Kalau melihat sejumlah Yo Yo Policy di awal 2025 buat mereka yg terdampak apalagi kena PHK ya #IndonesiaGelap ‍️‍️ Fenomena Sarjana Mengganggur Gelar Tak Jamin Dapat Kerja | https://t.co/zvTv6MgEb0,negatif
Negara tidak bisa menyediakan lapangan pekerjaan utk warga nya... Janji saat kampanye dahulu ttg menciptakan 19 juta lapangan pekerjaan memang hanya tinggal janji dan OMON OMON belaka... Negara #IndonesiaGelap https://t.co/a3rTlEISbg,positif
Mari skip pembahasan ngga nyambung tapi gerakan #WotaMelawan di #IndonesiaGelap kemaren disebut hal yang petantang petenteng itu maksudnya gimana? Kalo demo lo anggep jadi ajang keren-kerenan berarti ada yang salah sama cara lu melihat pergerakan tersebut,negatif
minimal sebelum ngetwit pahami korelasi dlu bang! #IndonesiaGelap buat lawan rezim pemerintah #fufuritsuOUT buat lawan manajemen grup. lo ngetwit begitu korelasinya ngga sesuai taii,negatif
Beras sering basi beraspun di oplos gak Anya BBM otak cebong saja di oplos . #IndonesiaGelap https://t.co/rzZLrQRWrB,negatif
Dengan gaya kekanakan (padahal tidak lucu) menuduh ada orang pintar yg menyebar pesimisme dengan tagar #IndonesiaGelap dan #KaburAjaDulu Kenapa PS selalu bersikap aneh anti kritik? Ya karena kartu as nya sudah dipegang si anu... #KaburAjaDulu sebab #IndonesiaGelap https://t.co/4h2HEXdlh8,negatif
Menaker Larang Pencatuman Batas Usia Dalam Proses Rekrutmen Tenaga Kerja https://t.co/bP3JlIaY5X,netral
Sipil demo dituduh rusuh (padahal yg rusuh justru mereka yg pakai shield itu) Sipil bertenda dituduh provokasi Sipil ngajuin pengujian dituduh tidak punya legal standing Masih bilang Indonesia ini terang? Masih denial sama #IndonesiaGelap ?,negatif
Musuh utama bangsa ini adalah Koruptor. Negara Bangkrut bukan karena Subsidi untuk Rakyat tapi karena Korupsi para Pejabat. #IndonesiaGelap,negatif
@tanyarlfes Bodo amat enabler 02 jangan kasih panggung. Berita vonis Tom Lembong lebih penting #indonesiagelap,negatif
@tanyakanrl #IndonesiaGelap Jilid 10. Oposisi terintimidasi lalu mendekam di jeruji. Sedangkan simpatisan bersenang-senang mengeruk harta si miskin.,negatif
Kenapa covernya hitam semua? Karena #IndonesiaGelap,negatif
Dia seorang profesional lulusan Universitas terbaik didunia bisa bekerja diperusahaan besar manapun namanya harum go to international. Kesalahannya cuma 1 yaitu MENGABDI KEPADA NEGARA INI DENGAN TULUS &amp; JUJUR ! Dia adalah TOM LEMBONG #miris #indonesia #IndonesiaGelap,positif
Kok bisa2nya simbah ini ngomong begini.... keji bener yg suplai data. #IndonesiaGelap #JuaraPidatoTanpaData https://t.co/fqTckZWj76,negatif
Untuk menggugurkan tuduhan dibiayai oleh koruptor pengesahan RUU Perampasan Aset harus menjadi tema utama. Sekedar saran. #IndonesiaGelap,negatif
Sepi? Oh iya kan gak sesuai brief buzzer #Civilphobia wkwkwk Makanya tetep maksa nuduh gerakan #IndonesiaGelap dan #SupremasiSipil sebagai bayaran lagi padahal kan yg dibayar itu jelas para buzzer rezim itu dengan harga murah ya mereka emng murahan sih wkwk,negatif
Jauh banget dari rasa keadilan.. #IndonesiaGelap Jangan sampai orang cerdas berintegritas ingin memajukan bangsa Indonesia ini habis oleh kaum oportunis.. Camkan hal ini pak.. @prabowo @Gerindra @bang_dasco @DPR_RI,negatif
Habiburokhman omong kosong aja soal partisipasi publik dalam pembahasan revisi undang-undang KUHAP. #IndonesiaGelap #TolakRKUHAP #HatiHatiRKUHAP https://t.co/sCeW09GII5,negatif
Pak Presiden @prabowo yth tema demo #IndonesiaGelap setahu saya adalah harapan kepada Bpk utk memperbaiki kerusakan dan kemunduran bangsa yg dibuat oleh rezim Jokowi - terutama korupsi. Jadi tdk msk akal koruptor membiayai yg anti kpd mereka. Smg Bpk tdk dapat masukan yg salah.,negatif
- harga beras makin mahal padahal stok melimpah - pengangguran naik terus Wamenaker nyuruh cari kerja sendiri di luar negeri - robot anjing2an parcok harga miliaran per unit terus ini Kita ambil hikmahnya aja makin cepat revolusi #MosiTidakPercaya #IndonesiaGelap,negatif
selangkah lagi menuju negara fasis Nazi brought to you by rezim bandit #TolakRKUHAP #MosiTidakPercaya #IndonesiaGelap,negatif
Ngakak Pdhl yg dSuarakan Demo #IndonesiaGelap it adlh diam &amp;Tutup Matanya Pemerintah trhadal Korupsi Merajalela Hukum sbgai Alat Politik utang Negara trus Naik hingga Lapangan pekrjaan sulit Gmn Konteksnya Demo Berantas Korupsi malah dbiayai Koruptor https://t.co/nWLGAk51Hq,negatif
hai hai semuanya aku lagi buat skripsi mengenai nctzenhumanity kira-kira ada yang pernah volunteer waktu kemarin #IndonesiaGelap ga ya? aku butuh 1-2 informan lagi untuk skripsiku nanti akan aku kasih fee juga yaaa. Thank you semuanya,negatif
Bapak Bedjo Untung korban langsung tragedi 1965 dalam diskusi buku 'Dua Dasawarsa Nirpidana' mendesak negara untuk segera melakukan pengadilan HAM terhadap kasus kejahatan 1965. Negara wajib tanggung jawab sama korban dan keluarganya ya. #IndonesiaGelap #TolakRKUHAP https://t.co/c8VEP5aPL0,negatif
Gila sih ini sama dengan pemerintah membela pelaku kejahatan yang merusak ke bhinekaan. Selain tidak ada otak mental dan moral kata-kata apalagi yang cocok untuk kebanyakan birokrasi di Indonesia seperti ini ya? @prabowo #IndonesiaGelap,negatif
Dulu ada tagar #IndonesiaGelap dan #kaburajadulu termul gk terima... Nuduh gk punya rasa nasionalis lah sakit hati lah kalah pilpres lah.. Eh faktanya banyak PHK lap kerja syulit.. Menterinya menghimbau cari kerja ke LN lagi.. Termul &amp; penjilat bansos auto mingkem...,negatif
Tidak pakai anggaran saja sudah mencurigakan memangnya uji cona nggak pakai biaya? Status uji coba tapi dipamerkan seperti alat pendukung operasi di acara HUT Polri berarti pembohongan publik @prabowo #indonesiagelap,negatif
LIPUTAN 6 SCTV kabarnya baru saja memberhentikan Pemimpin Redaksi dan sejumlah wartawannya Kira-kira 40 orang.. #IndonesiaGelap,negatif
Undangan Klarifikasi itu tidak ada dalam KUHAP Pak.. Juga Pembuktian oleh para pihak menurut KUHAP itu dilakukan di Pengadilan bukan di kepolisian Pak Mantan IRJEN.. Inilah bagaimana proses hukum versi POLRI kurang berpegang pada KUHAP @prabowo #IndonesiaGelap,negatif
Coba @kemkomdigi klarifikasi ini maksudnya apa? Kalian mau makin ngancurin Ease of Doing Business (EoDB) di negara ini? Atau biar lebih mudah menyadap komunikasi rakyat sendiri tanpa Voice over Internet Protocol (VoIP)? https://t.co/mGJxPTG5Q5 #IndonesiaGelap https://t.co/XoI5t6fv8Y,negatif
Ayo rakyat Indonesia jangan mau dibodoh2in pemerintah fasis kalian ini. Kita manusia yang punya nalar dan otak bukan gerombolan tikus bodoh Teruslah berpikir kritis! #TolakRKUHAP #IndonesiaGelap #MosiTidakPercaya,negatif
panjang umur perjuangan #IndonesiaGelap https://t.co/zh5xpC0nGu,negatif
Masa Semakin Gelap?? #IndonesiaMakinGelap ?? @bahlillahadalia with Tambang Raja Ampat @fadlizon dengan Sejarah ciptaannya Semakin sopan hukuman korupsi di kurangi. Kurang itu #IndonesiaGelap,negatif
Agustina Hastarini ga tau Maman Abdurrahman ga tau Baru dapet Jabatan Menteri dah semena-mena aja nih suami isteri. Gimana UMKM kita mau maju ? #IndonesiaGelap @prabowo https://t.co/mzvJuVMRLJ,negatif
Masalah untuk republik ditugaskan untuk menangani masalah di Papua sama seperti ASN bermasalah dikirim ke Papua.. Artinya apa kawan-kawan?? #indonesiagelap,positif
Dalam pidato penutupan Kongres PSI Prabowo memberi sinyal kritik terhadap Indonesia Gelap dan Kabur Aja Dulu diduga dibiayai dari aliran dana yang tak bersih. Selengkapnya di video berikut ini! #PrabowoSubianto #KongresPSI #IndonesiaGelap #KaburAjaDulu #FYI05 #MF03 https://t.co/o27GDTAWls,negatif
@ARSIPAJA Yg donasi roti dari semua kalangan untuk #Indonesiagelap https://t.co/ZXN6ZWSOu6,netral
Yang brief kamu mengenai hal ini siapa ya? @prabowo ini namanya pembodohan presiden jangan sampai jadi tolol seperti wakilmu boss.. Malu ya digoyang gerakan besar bermodal jari semangat juang rasa perduli terhadap negara dan sisa uang makan rakyat kecil? #indonesiagelap,negatif
@BudiBukanIntel Donasi roti dari semua kalangan di #Indonesiagelap https://t.co/GQypErtDCY,netral
Polri dimata Rakyat yang sebenarnya.. Reformasi Sistim Layanan Kepolisian! Pospol dan Polsek ujung tombak yang harus diperkuat dan diruncingkan untuk melayani Masyarakat kekuatan Polri bukan untuk difokuskan di Mabes Polda ataupun Polres @prabowo #indonesiagelap,negatif
Melawan #IndonesiaGelap = Melawan gerakan masyarakat sipil Melawan Orde Baru = Melawan Pancasila,negatif
Kabinet @prabowo Toxit Menteri dan Wamen banyak yang Blunder sampai @INFOBNN bebaskan Artis pakai Narkoba #IndonesiaGelap,negatif
ramein lagi aje #IndonesiaGelap,netral
Buat apa Menjabat Wamen kl tidak punya Ide Dan Gagasan mewujudkan Janji Kampanye . Kok malah Cuci tangan . Melek Yukk . #IndonesiaGelap #IndonesiaMumet #TolakUUTNI #SupremasiSipil #MariBangunKesadaran #TolakOkupasiTanahRakyat #MataMuButaGunakanLampuJauhMeskiDalamKota,positif
Saya bangun pagi saya lihat Indonesia CERAH... Ndasmu..! . PRABOWO omon2 SUBIANTO. Emang sih buat dia dan para menteri serta wamennya yang rangkap jabatan mah sangat CERAH.. . Pakai kacamata Dab biar ngga blur.. #IndonesiaGelap gulita Jumat Amerika https://t.co/gv0zjgli8o,negatif
@geloraco Tantangan keras dr presiden‼️ #indonesiagelap riil gerakan rakyat RT keras biar dia tau‼️,netral
Orang baik bersih &amp; berani bersuara adalah musuh Negara Justru Penjilat &amp; Koruptor d piara oleh Negara #HidupKoruptor #IndonesiaGelap,negatif
Sepertinya sudah tidak ada lagi pihak yang selalu ngotot menjalankan putusan MK yang bersifat Erga Omnes mengikat dan berlaku bagi seluruh warga negara seperti saat diperlukan untuk penetapan Capres &amp; Cawapres 2024. #indonesiagelap,negatif
Walau di babak akhir marcella menyangkal balik pengakuannya namun video nya yang di sebar kejaksaan sudah terlanjur di buzzer kan !? #IndonesiaGelap memang beneran gerakan sipil keluar dari nurani netizen melihat bobroknya REZIM INI ! Cabut UU TNI &amp; Tolak RUu Kejaksaan! https://t.co/PIiEstSCxS,negatif
@NarasiNewsroom Terdakwa saat sebagai Menteri Perdagangan tidak melaksanakan tugas dan tanggung jawab secara akuntabel dan bertanggung jawab bermanfaat dan adil dalam pengendalian stabilitas harga gula yang murah dan terjangkau oleh masyarakat ujar hakim. KORUPSINYA DIMANA? #indonesiagelap,positif
@geloraco Hasil pemilu SEPANYOL alias SEPAROH NYOLONG Betul² #indonesiagelap ya di rezim @prabowo dan @Gerindra berkuasa.. Betul² susah lawan orang terkaya.. untuk mengamankan ijazah palsunya aja sampai mengeluarkan 2 6 triliun apalagi untuk mengamankan jabatan anaknya https://t.co/2DamWpk7OB,negatif
Ooh jadi #IndonesiaGelap itu nyata tooh Terimakasih BI https://t.co/w5zHXgc9OD,positif
Jane Rosalina dari @KontraS mengecam Fadli Zon karena pernyataannya mengakibatkan kembalinya trauma korban pemerkosaan massal Mei 98. #IndonesiaGelap https://t.co/u6vXWXTCqA,negatif
Presiden OMON OMON Ngga tahu realita memimpin dalam angan angan... . #IndonesiaGelap https://t.co/saqC011DVq https://t.co/hdnZOsbDuw,positif
Agustusan tahun ini kayanya gak ada perayaan Upacara HUT ke-80 RI karena masih menunggu hasil sayembara desain logo yg belum ada hasilnya. #HUTRI80 #DirgahayuIndonesia #IndonesiaGelap https://t.co/ANaIdtlhhX,positif
Rakyat mana yg diajak ehh rakyat tagar #IndonesiaGelap yakkk https://t.co/i37rILK9HC,negatif
@democrazymedia Seharusnya istrinya n pejabatnya diperiksa @KPK_RI krn sdh melakukan korupsi n penyalagunaan wewenang ... #IndonesiaGelap https://t.co/DRrsZfpQWf,negatif
#IndonesiaGelap Kalau ada yg berani bilang cerah katakan saja Muka Nenek Mamak Kaupun Gelap Kejayaan Jati dan Bisnis Furnitur yang Terancam Babak Belur https://t.co/mSLqgxnByw @KontanNews https://t.co/miSgbmme7D,negatif
@kompascom Tambah lge pemborosan kenapa ngak berkantor di IKN sono.. lagi pula jk di Papua dia bisa apa paling dibawa KKB Aamiin dech kalau itu.. #IndonesiaGelap https://t.co/4zQEHglnZv,negatif
Kekhawatiran kegagalan koperasi desa merah putih itu indikasinya 2 1. Menteri koperasinya Budi JUDOL Ari Setiadi 2. Mental korupsi.. #IndonesiaGelap https://t.co/DrwHzvD2RD,negatif
Pupuk dioplos Beras dioplos BBM dioplos Minyak goreng disunat isinya Beras disunat isinya . Berita baik Indonesia surplus beras berita buruknya yang mbacot PRABOWO dan Pembantunya.. . #IndonesiaGelap https://t.co/1FhEDzSXMg,negatif
Mari lawan bajingan-bajingan ini #IndonesiaGelap https://t.co/aDV3aE0Bo0,negatif
@msaid_didu Kenapa Defisit Anggaran terus melebar padahal sdh mencoba efisiensi sampai 300T jawabnya Pemerintahan Prabowo Penuh Korupsi efisiensi cuma di kertas dilapangan penuh pemborosan.. #IndonesiaGelap https://t.co/UBTGbcN5pc,negatif
Diajak memperingati bastille day apakah ini pertanda agar revolusi? #indonesiagelap,negatif
Penyebaran tagar #IndonesiaGelap dan isu Tolak RUU TNI ternyata ada aktor intelektualnya yaitu Edi Hermanto pengusaha emas dan perak siapa lagi kalau bukan @BangEdiii Mohon @Cakra_Kostrad segera comot ini orang Pak. #TangkapEdiHermanto https://t.co/PfnQeA6Q9o,negatif
Rezim Toxit efisiensi anggaran cuma modus untuk korupsi katanya Difisit tapi rame rame minta tambahan anggaran. #IndonesiaGelap #Indonesiabubar2030 https://t.co/U8S8lGAvcM,negatif
Lha dia ngomong bikin pesimis artinya memang iklim usaha dan pekerjaan sedang tdk baik2 saja. #IndonesiaGelap https://t.co/ciMtZylUxV,negatif
Baca kebalikan pernyataannya di jamin tidak ketipu . Coba jika kaum muslim taat Fatwa ulama tidak pilih pemimpin pembohong #IndonesiaGelap emaknya saja di palsu apalagi ijazah . Kok ya ada pejabat yg mengganggap ijazah Palsu itu halal. https://t.co/t4FcZ3JvD3,negatif
#indonesiagelap and 1.3.1.2 on barasuara visual im fckin love yall!!!! https://t.co/ffyeLxpxXj,negatif
Ribuan Mahasiswa Aksi Demo Indonesia Gelap Padati Patung Kuda ini salah satunya mahasiswa UI yang sudah datang #IndonesiaGelap https://t.co/7GHgJEgqNu,negatif
Kemarin anaknya kasus oplos minyak. Tapi pasti belum memuaskan jika belum menyentuh Raja (Jawa) nya.. Begitu yang dikatakan konten-konten video yang disuruh dibuat oleh Marcella Santoso pengacara merangkap markus berbagai kasus paus termasuk #indonesiagelap &amp; #RUUTNI https://t.co/h1vkoBqTTk,negatif
@DokterTifa negera milik moyang mulyono jd pejabat negara seenak udelnya anak bangsa yg berprestasi bejibun tak satupun ditengok Astaghfirullahaladzimi #indonesiagelap,negatif
Pemicu tagar #KaburAjaDulu itu karena Lonjakan harga kebutuhan pokok Kenaikan harga barang esensial biaya hidup semakin tinggi dan kurangnya lapangan kerja.. Tanggapan Wamen tenaga kerja betul2 membagongkan.. Ndasmu noel https://t.co/71tZdldkkp,positif
@detikcom Di konoha cuma ada peluang korupsi ... kalau lapangan kerja makin tidak ada .. #IndonesiaGelap https://t.co/meeBjamWOF,positif
Kalian gak punya legal standing karena hanya sipil. Kalian benci pemerintah karena paslon kalian kalah. Kalian adalah para perusuh yang dibayar koruptor untuk memecah belah bangsa. #CabutUUTNI #TolakRUUPolri #IndonesiaGelap #KawalRKUHAP #ArtistBersuara https://t.co/EivRCo3I1O,negatif
Diplomat Muda Kemlu Tewas dengan Wajah Terlakban Seorang diplomat pria Kemlu ditemukan tewas di kamar kosnya di Menteng Jakarta Pusat pada Selasa (8/7). Baca Selengkapnya: https://t.co/bIzSn2WwQG #diplomattewas #diplomatmuda #diplomat #Diplomatie #kementerian #IndonesiaGelap,negatif
#Statement Teman-teman netizen saya dimanapun saya mohon maaf telah ikut andil merusak Indonesia dengan dua kali memilih @jokowi (Joko Widodo) 🇮🇩 #IndonesiaCEmas2045 #IndonesiaGelap 🇮🇩 https://t.co/LCH1zh8up9,negatif
Lah ini malah mobil propam di kemudian anak² lakukan tabrak lari .. #IndonesiaGelap https://t.co/L7fT4MqSCc,negatif
@BudiBukanIntel Emang orang2 ABRI ini lingkar otaknya kecil tahun 2025 masih pake taktik begini Dikira demo #IndonesiaGelap itu demo Malari kali ya 1974,negatif
Penduduk Indonesia 280 jt ternyata merangkap jabatan itu sebuah kepatutan menurut Wamen... Negara ini sudah rusak dari kepalanya.. . #IndonesiaGelap https://t.co/9xB9422V1u https://t.co/CGCV1lpRK6,negatif
Fakta emang rezim boneka misi menghancurkan Indonesia #IndonesiaGelap https://t.co/KU2hFnr3SY,negatif
SUMUT sdh Selesai Dgn SARA . Jgn Coba2 AGIPROP SARA . Melek Yukk . #IndonesiaGelap #IndonesiaMumet #TolakUUTNI #SupremasiSipil #MariBangunKesadaran #TolakOkupasiTanahRakyat #MataMuButaGunakanLampuJauhMeskiDalamKota https://t.co/6d9lWYknqI,negatif
Ijazah SMA + Sarjana palsu Tesis n disertasi Doktor pd Univ Negeri terbesar tipu² Journal plagiat Rektorat diatur politisi Dll #IndonesiaGelap #IndonesiaGelap TIMES Indonesia:* Prestasi Indonesia: Peringkat Kedua Ketidakjujuran Akademik https://t.co/dXIUfvFGdj,negatif
kalau rakyat tau betapa korupnya polisi dan berapa triliun duit pajak rakyat yang udah dihambur2kan tanpa transparansi . Mabes Polri pasti udah habis dibakar massa #ACAB #StopBayarPajak #IndonesiaGelap,negatif
